Landmark,X,Y,Species,Period
1,422,397,Bergeroniellus asiaticus,Cambrian-Lower
2,131,58,Bergeroniellus asiaticus,Cambrian-Lower
3,154,82,Bergeroniellus asiaticus,Cambrian-Lower
4,88,289,Bergeroniellus asiaticus,Cambrian-Lower
5,377,80,Bergeroniellus asiaticus,Cambrian-Lower
6,199,206,Bergeroniellus asiaticus,Cambrian-Lower
7,230,161,Bergeroniellus asiaticus,Cambrian-Lower
8,266,140,Bergeroniellus asiaticus,Cambrian-Lower
9,300,312,Bergeroniellus asiaticus,Cambrian-Lower
10,323,288,Bergeroniellus asiaticus,Cambrian-Lower
11,350,273,Bergeroniellus asiaticus,Cambrian-Lower
1,694,288,Bondonella szduyi,Cambrian-Lower
2,79,288,Bondonella szduyi,Cambrian-Lower
3,117,287,Bondonella szduyi,Cambrian-Lower
4,246,406,Bondonella szduyi,Cambrian-Lower
5,291,165,Bondonella szduyi,Cambrian-Lower
6,270,318,Bondonella szduyi,Cambrian-Lower
7,285,270,Bondonella szduyi,Cambrian-Lower
8,284,234,Bondonella szduyi,Cambrian-Lower
9,491,316,Bondonella szduyi,Cambrian-Lower
10,496,276,Bondonella szduyi,Cambrian-Lower
11,502,247,Bondonella szduyi,Cambrian-Lower
1,315,280,Esmeraldina (Palmettaspis),Cambrian-Lower
2,310,62,Esmeraldina (Palmettaspis),Cambrian-Lower
3,310,82,Esmeraldina (Palmettaspis),Cambrian-Lower
4,210,138,Esmeraldina (Palmettaspis),Cambrian-Lower
5,409,131,Esmeraldina (Palmettaspis),Cambrian-Lower
6,289,146,Esmeraldina (Palmettaspis),Cambrian-Lower
7,309,154,Esmeraldina (Palmettaspis),Cambrian-Lower
8,332,146,Esmeraldina (Palmettaspis),Cambrian-Lower
9,289,201,Esmeraldina (Palmettaspis),Cambrian-Lower
10,310,205,Esmeraldina (Palmettaspis),Cambrian-Lower
11,328,201,Esmeraldina (Palmettaspis),Cambrian-Lower
1,187,423,Gabriellus kierorum,Cambrian-Lower
2,195,74,Gabriellus kierorum,Cambrian-Lower
3,195,88,Gabriellus kierorum,Cambrian-Lower
4,85,126,Gabriellus kierorum,Cambrian-Lower
5,308,137,Gabriellus kierorum,Cambrian-Lower
6,175,188,Gabriellus kierorum,Cambrian-Lower
7,195,189,Gabriellus kierorum,Cambrian-Lower
8,233,189,Gabriellus kierorum,Cambrian-Lower
9,168,268,Gabriellus kierorum,Cambrian-Lower
10,195,267,Gabriellus kierorum,Cambrian-Lower
11,226,268,Gabriellus kierorum,Cambrian-Lower
1,483,363,Olenellus chiefensis,Cambrian-Lower
2,193,62,Olenellus chiefensis,Cambrian-Lower
3,220,95,Olenellus chiefensis,Cambrian-Lower
4,189,286,Olenellus chiefensis,Cambrian-Lower
5,399,101,Olenellus chiefensis,Cambrian-Lower
6,296,229,Olenellus chiefensis,Cambrian-Lower
7,324,212,Olenellus chiefensis,Cambrian-Lower
8,344,182,Olenellus chiefensis,Cambrian-Lower
9,397,325,Olenellus chiefensis,Cambrian-Lower
10,409,309,Olenellus chiefensis,Cambrian-Lower
11,424,292,Olenellus chiefensis,Cambrian-Lower
1,420,218,Olenellus schucherti,Cambrian-Lower
2,29,119,Olenellus schucherti,Cambrian-Lower
3,64,127,Olenellus schucherti,Cambrian-Lower
4,144,295,Olenellus schucherti,Cambrian-Lower
5,231,53,Olenellus schucherti,Cambrian-Lower
6,188,207,Olenellus schucherti,Cambrian-Lower
7,206,175,Olenellus schucherti,Cambrian-Lower
8,218,153,Olenellus schucherti,Cambrian-Lower
9,346,215,Olenellus schucherti,Cambrian-Lower
10,346,197,Olenellus schucherti,Cambrian-Lower
11,347,180,Olenellus schucherti,Cambrian-Lower
1,481,401,Altiocculus drumensis,Cambrian-Middle
2,190,88,Altiocculus drumensis,Cambrian-Middle
3,216,122,Altiocculus drumensis,Cambrian-Middle
4,134,274,Altiocculus drumensis,Cambrian-Middle
5,402,109,Altiocculus drumensis,Cambrian-Middle
6,232,200,Altiocculus drumensis,Cambrian-Middle
7,261,177,Altiocculus drumensis,Cambrian-Middle
8,284,161,Altiocculus drumensis,Cambrian-Middle
9,366,338,Altiocculus drumensis,Cambrian-Middle
10,380,324,Altiocculus drumensis,Cambrian-Middle
11,403,314,Altiocculus drumensis,Cambrian-Middle
1,132,119,Coosella Type I,Cambrian-Middle
2,449,288,Coosella Type I,Cambrian-Middle
3,415,277,Coosella Type I,Cambrian-Middle
4,403,122,Coosella Type I,Cambrian-Middle
5,245,347,Coosella Type I,Cambrian-Middle
6,366,204,Coosella Type I,Cambrian-Middle
7,352,237,Coosella Type I,Cambrian-Middle
8,326,280,Coosella Type I,Cambrian-Middle
9,274,163,Coosella Type I,Cambrian-Middle
10,252,189,Coosella Type I,Cambrian-Middle
11,235,218,Coosella Type I,Cambrian-Middle
1,246,493,Damesella paronai,Cambrian-Middle
2,249,56,Damesella paronai,Cambrian-Middle
3,248,72,Damesella paronai,Cambrian-Middle
4,77,142,Damesella paronai,Cambrian-Middle
5,399,146,Damesella paronai,Cambrian-Middle
6,199,170,Damesella paronai,Cambrian-Middle
7,242,161,Damesella paronai,Cambrian-Middle
8,288,171,Damesella paronai,Cambrian-Middle
9,210,345,Damesella paronai,Cambrian-Middle
10,245,338,Damesella paronai,Cambrian-Middle
11,280,341,Damesella paronai,Cambrian-Middle
1,344,429,Elrathia kingii,Cambrian-Middle
2,362,22,Elrathia kingii,Cambrian-Middle
3,362,60,Elrathia kingii,Cambrian-Middle
4,204,137,Elrathia kingii,Cambrian-Middle
5,521,144,Elrathia kingii,Cambrian-Middle
6,317,137,Elrathia kingii,Cambrian-Middle
7,356,135,Elrathia kingii,Cambrian-Middle
8,402,138,Elrathia kingii,Cambrian-Middle
